Park Name,Park Code,Code Format,New Code,Visited
Manresa State Beach,545,0,545,1
Marconi Conference Center State Historic Park,467,0,467,0
Marina State Beach,581,0,581,0
Marsh Creek State Historic Park,525,0,525,0
Marshall Gold Discovery State Historic Park,484,0,484,1
Martial Cottle Park State Recreation Area,23450,915,915,0
McArthur-Burney Falls Memorial State Park,455,0,455,0
McConnell State Recreation Area,554,0,554,0
McGrath State Beach,607,0,607,0
McLaughlin Eastshore State Park State Seashore,520,0,520,1
Mendocino Headlands State Park,442,0,442,0
Mendocino Woodlands State Park,443,0,443,0
Millerton Lake State Recreation Area,587,0,587,0
Mono Lake Tufa State Natural Reserve,514,0,514,0
Montaña de Oro State Park,592,0,592,1
Montara State Beach,532,0,532,1
Monterey State Historic Park,575,0,575,0
Monterey State Beach,576,0,576,0
Montgomery Woods State Natural Reserve,434,0,434,0
Moonlight State Beach,659,0,659,0
Morro Bay State Park,594,0,594,0
Morro Strand State Beach,593,0,593,1
Moss Landing State Beach,574,0,574,1
Mount Diablo State Park,517,0,517,1
Mount San Jacinto State Park,636,0,636,0
Mount Tamalpais State Park,471,0,471,1
Natural Bridges State Beach,541,0,541,0
Navarro River Redwoods State Park,435,0,435,0
New Brighton State Beach,542,0,542,1
Oceano Dunes State Vehicular Recreation Area,1207,916,916,0
Ocotillo Wells State Vehicular Recreation Area,1217,917,917,0
Old Sacramento State Historic Park,497,0,497,0
Old Town San Diego State Historic Park,663,0,663,0
Olompali State Historic Park,465,0,465,0
Pacheco State Park,560,0,560,0
Pacifica State Beach,524,0,524,1
Palomar Mountain State Park,637,0,637,0
Pelican State Beach,412,0,412,0
Pescadero State Beach,522,0,522,1
Petaluma Adobe State Historic Park,474,0,474,0
Pfeiffer Big Sur State Park,570,0,570,0
Picacho State Recreation Area,641,0,641,0
Pigeon Point Light Station State Historic Park,533,0,533,1
Pío Pico State Historic Park,621,0,621,0
Pismo State Beach,595,0,595,0
Placerita Canyon State Park,622,0,622,0
Plumas-Eureka State Park,507,0,507,0
Point Cabrillo Light Station State Historic Park,22276,918,918,0
Point Dume State Beach,623,0,623,0
Point Lobos State Natural Reserve,571,0,571,1
Point Lobos Ranch Park Property,569,0,569,0
Point Mugu State Park,630,0,630,0
Point Sal State Beach,605,0,605,0
Point Sur State Historic Park,565,0,565,0
Pomponio State Beach,521,0,521,1
Portola Redwoods State Park,539,0,539,0
Prairie City State Vehicular Recreation Area,411,0,411,0
Prairie Creek Redwoods State Park,415,0,415,0
Providence Mountains State Recreation Area,615,0,615,0
Railtown 1897 State Historic Park,491,0,491,0
Rancho San Andrés Castro Adobe Park Property,22271,919,919,0
Red Rock Canyon State Park,631,0,631,0
Refugio State Beach,603,0,603,0
Reynolds Wayside Campground,428,0,428,0
Richardson Grove State Park,422,0,422,0
Rio de Los Angeles State Park State Recreation Area,22277,920,920,0
Robert H. Meyer Memorial State Beach,633,0,633,0
Robert Louis Stevenson State Park,472,0,472,0
Robert W. Crown Memorial State Beach,526,0,526,1
Russian Gulch State Park,432,0,432,0
Saddleback Butte State Park,618,0,618,0
Salinas River State Beach,573,0,573,1
Salt Point State Park,453,0,453,0
Salton Sea State Recreation Area,639,0,639,0
Samuel P. Taylor State Park,469,0,469,0
San Bruno Mountain State Park,518,0,518,1
San Buenaventura State Beach,600,0,600,0
San Clemente State Beach,646,0,646,0
San Elijo State Beach,662,0,662,0
San Gregorio State Beach,529,0,529,1
San Juan Bautista State Historic Park,563,0,563,1
San Luis Reservoir State Recreation Area,558,0,558,0
San Onofre State Beach,647,0,647,0
San Pasqual Battlefield State Historic Park,655,0,655,0
San Timoteo Canyon Park Property,228882,921,921,0
Santa Cruz Mission State Historic Park,548,0,548,0
Santa Monica State Beach,624,0,624,0
Santa Susana Pass State Historic Park,611,0,611,0
Schooner Gulch State Beach,446,0,446,0
Seacliff State Beach,543,0,543,0
Shasta State Historic Park,456,0,456,0
Silver Strand State Beach,654,0,654,0
Silverwood Lake State Recreation Area,650,0,650,0
Sinkyone Wilderness State Park,429,0,429,0
Smithe Redwoods State Natural Reserve,427,0,427,0
Sonoma State Historic Park,479,0,479,0
Sonoma Coast State Park,451,0,451,0
South Carlsbad State Beach,660,0,660,0
South Yuba River State Park,496,0,496,0
Standish-Hickey State Recreation Area,423,0,423,0
State Indian Museum State Historic Park,486,0,486,0
Stone Lake Park Property,493,0,493,0
Sue-meg State Park,417,0,417,1
Sugarloaf Ridge State Park,481,0,481,0
Sunset State Beach,544,0,544,1
Sutter Buttes State Park,23452,922,922,0
Sutter's Fort State Historic Park,485,0,485,0
Tahoe State Recreation Area,504,0,504,0
The Forest of Nisene Marks State Park,666,0,666,1
Thornton State Beach,530,0,530,1
Tijuana Estuary NP Point of Interest,669,0,669,0
Tolowa Dunes State Park,430,0,430,0
Tomales Bay State Park,470,0,470,0
Tomo-Kahni State Historic Park,610,0,610,0
Topanga State Park,629,0,629,0
Torrey Pines State Natural Reserve,657,0,657,0
Torrey Pines State Beach,658,0,658,0
Trinidad State Beach,418,0,418,0
Trione-Annadel State Park,480,0,480,0
Tule Elk State Natural Reserve,584,0,584,0
Turlock Lake State Recreation Area,555,0,555,0
Twin Lakes State Beach,547,0,547,0
Van Damme State Park,433,0,433,0
Verdugo Mountains Park Property,635,0,635,0
Ward Creek Park Property,513,0,513,0
Washoe Meadows State Park,516,0,516,0
Wassama Round House State Historic Park,586,0,586,0
Watts Towers of Simon Rodia State Historic Park,613,0,613,0
Weaverville Joss House State Historic Park,457,0,457,0
Westport-Union Landing State Beach,440,0,440,0
Wilder Ranch State Park,549,0,549,0
Wildwood Canyon Park Property,22883,923,923,0
Will Rogers State Beach,625,0,625,0
Will Rogers State Historic Park,626,0,626,0
William B. Ide Adobe State Historic Park,458,0,458,1
Woodland Opera House State Historic Park,488,0,488,0
Woodson Bridge State Recreation Area,459,0,459,0
Zmudowski State Beach,572,0,572,0
